Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
SmartStyle,(205) 991-3831,,http://www.smartstyle.com,5335 Highway 280 S,Birmingham,AL,35242,,,,,"['Mo-Sa 09:00-19:00', 'Su 12:00-18:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/smartstyle-8999268,
Salon Allure,(205) 991-9209,,,5479 Highway 280,Birmingham,AL,35242,,,,,"['Tu-Fr 09:00-18:00', 'Sa 09:00-14:00']",,,20 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/salon-allure-451415017,
Shear Trendz3,(205) 641-3801,wareshari@yahoo.com,,2468 Old Springville Rd,Birmingham,AL,35215,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/shear-trendz3-551621101,Here at Shear Trendz3 we specialize in perfecting your style of hair beyond your dreams. We have the best customer service and stylist in the business. Please come see us for a consultation and let us bring your hair back to life.
Seiler Skin Cosmetic Laser & Aesthetics Center,(205) 870-0204,jill@seilerskin.com,http://www.seilerskinandcosmeticlaser.com,2700 Rogers Dr Suite 101,Birmingham,AL,35209,,,,,['Mo-Fr 09:00-17:00'],,,16 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/seiler-skin-cosmetic-laser-aesthetics-center-479286858,
Miracles Hair Design & Salon,(205) 923-0006,Miracleshairdesign@yahoo.com,https://www.miracleshairdesigns.com,3010 Jefferson Ave SW,Birmingham,AL,35211,,,,,"['We-Fr 09:00-17:00', 'Sa 09:00-13:00']",,,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/miracles-hair-design-salon-9079476,
Hi-Tech Hair Salon,(205) 591-7360,,http://www.aboc.state.al.us,5504 Crestwood Blvd Ste D,Birmingham,AL,35212,,,,,['Tu-Sa 07:00-18:00'],,,16 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hi-tech-hair-salon-4248092,
The Dollhouse Hair Salon,(205) 202-4082,,,1705 3rd Ave W,Birmingham,AL,35208,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/the-dollhouse-hair-salon-456279111,
Step It Up Hair Studio Salon,(205) 786-1604,,,2212 31st Street Ensley,Birmingham,AL,35208,,,,,"['Tu-Fr 09:00-18:00', 'Sa 07:00-15:00']",,,28 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/step-it-up-hair-studio-salon-502929943,
Audrey's Touch of Beauty Hair Salon,(205) 836-2444,,,8605 1st Ave N,Birmingham,AL,35206,,,,,['Mo-Fr 09:00-17:00'],,,11 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/audreys-touch-of-beauty-hair-salon-472900027,
Dominican Hair Salon2,(205) 836-1656,,,9098 Parkway E,Birmingham,AL,35206,,,,,"['Mo-Th 10:00-18:00', 'Fr 08:00-18:00', 'Sa 08:00-17:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dominican-hair-salon2-481034094,
Renew Hair Salon,(205) 991-5951,info@renewhairsalon.com,http://www.renewhairsalon.com,13521 Old Highway 280,Birmingham,AL,35242,,,,,['Mo-Sa 09:00-18:00'],,,16 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/renew-hair-salon-7098661,
Etheridge Beauty Nook,(205) 254-9181,,http://www.etheridgebrothers.com,1618 3rd Ave N,Birmingham,AL,35203,,,,,"['Tu-Fr 07:00-18:00', 'Sa 06:00-16:00']",,,39 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/etheridge-beauty-nook-1477927,
Hair So Unique,(205) 320-1484,,,2916 27th St N,Birmingham,AL,35207,,,,,['Mo-Fr 09:00-17:00'],,,27 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/hair-so-unique-10653956,
Hair Flair,(205) 786-0005,lgrimes62@gmail.com,,809 Graymont Ave W,Birmingham,AL,35204,,,,,['Mo-Fr 09:00-17:00'],,,30 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hair-flair-448965,
Hala,(205) 599-2883,,,2915 Crescent Ave,Birmingham,AL,35209,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/hala-542381905,
Sport Clips,(205) 942-0290,,http://haircutmenhomewoodal.com,225 Lakeshore Pkwy,Birmingham,AL,35209,,,,,"['Mo-Sa 09:00-18:00', 'Su 12:00-17:00']",,,21 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/sport-clips-1815066,
Vg's Hair Studio,(205) 788-4847,support@feinsearch.com,,527 19th Street Ensley,Birmingham,AL,35218,,,,,['Tu-Sa 08:30-18:30'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/vgs-hair-studio-5351466,
Hair N More,(205) 788-6432,,,1825 Laurel Ave SW,Birmingham,AL,35211,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/hair-n-more-8617584,
Hair Stage,(205) 967-6871,aihuabasset1@yahoo.com,https://hair-stage.edan.io,4704 Cahaba River Rd,Birmingham,AL,35243,,,,,['Tu-Sa 09:00-18:00'],,,31 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hair-stage-6466824,
Baker Sara Electrolysis,(205) 414-1194,,http://sarabakerelectrolysis.com,3507 Old Montgomery Hwy,Birmingham,AL,35209,https://www.facebook.com/pages/Baker-Sarah-Electrolysis/1041176165892435,,,,,,,18 Years,7 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/baker-sara-electrolysis-10038768?lid=1001616285490,
Bennie Mac,(205) 591-2887,,http://www.benniemacson1st.com,4831 1st Ave N,Birmingham,AL,35222,https://www.facebook.com/benniemacson1st,,,,"['Mo 11:00-19:00', 'Tu-Th 08:00-18:00', 'Fr 06:00-19:00', 'Sa 05:30-19:00', 'Su 13:00-18:00']",,,21 Years,12 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/bennie-mac-14883256?lid=195201220,"Bennie Mac's On 1st offers each of his clients an exclusive treatment, personalized to suit their hair and skin needs. Licensed in both barbering and cosmetology, their services include; haircuts & hairstyles, straight razor shaves, facial hair trimming and shaping, eye brow arching and overall grooming. Bennie Mac's has developed a keen eye over the years for eyebrow arching, and is an expert on what styles suit different face shapes. With any service or treatment, Bennie Mac's works to educate his clients on how they can maintain a proper grooming system at home. Bennie Mac's has a wide span of knowledge of the various men & women hair and skin products on the market today, and can help clients choose what best suits their own personal needs. "
Homewood Barber Shop,(205) 259-5226,otis1313@hotmail.com,http://homewoodbarbershop.com,2724 18th Street South,Birmingham,AL,35209,https://m.facebook.com/pages/homewood-barber-shop/151926021485231,,,,"['Mo-Fr 07:00-17:30', 'Sa 07:00-16:30']",5,1,58 Years,1 Year ,,,,https://www.yellowpages.com/birmingham-al/mip/homewood-barber-shop-6109046?lid=1002164618783,"Homewood Old Timey Barbershop has been apart of the Birmingham community since 1965. Times have changed. Our commitment to our clients remains the same. As a family-owned and operated team, we continue to serve our customers who we consider apart of our own family."
Designs by DC,(205) 259-8726,,,,Birmingham,AL,35234,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/designs-by-dc-503150390?lid=1000570489208,
Oasis Nail Spa,(205) 991-2737,,,408 Cahaba Park Cir,Birmingham,AL,35242,https://www.facebook.com/oasis-nail-spa-955842981148861,,,,"['Mo 13:00-18:00', 'Tu-Sa 10:00-19:00', 'Su 13:00-18:00']",3.5,6,,,,,,https://www.yellowpages.com/birmingham-al/mip/oasis-nail-spa-478288940?lid=1000437172737,"Our mission is to relax your mind, treat your body, and soothe your soul through the authentic spa service and peaceful environment. A relaxing experience with complete nail services. A combination of passion and professionalism is present in all of our work. We will satisfy customers 100%. Walk-ins are welcomed, but we prefer that you make an appointment. Our appointment clients will be our first priority. LOVE OF BEAUTY IS TASTE. THE CREATION OF BEAUTY IS ART."
Trocadero Inc,(205) 870-7650,trocaderoinc@bellsouth.net,,2839 Cahaba Rd,Birmingham,AL,35223,https://www.facebook.com/trocaderosalon,,,,"['Tu-We 09:00-17:00', 'Th 09:00-18:30', 'Fr 09:00-17:00', 'Sa 09:00-14:00']",,,49 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/trocadero-inc-16665919?lid=1001961538344,Trocadero is dedicated to service and value. All of our licensed specialists sincerely enjoy what we do and it is reflective on the smiles and repeat business of our clients. We promise individual attention and great value for all of our customers.
Tay Miller,(205) 276-4268,,,1205 2nd Ave S,Birmingham,AL,35233,,,,,"['Mo 08:00-13:00', 'Tu-Fr 09:00-18:00', 'Sa 08:00-14:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/tay-miller-504948517?lid=1001571491152,"Tay Miller offers a variety of hair services,  she prides herself on customer service,  and strives to make sure your experience is top of the line. Book your appointment today."
SunSource Tanning,(205) 956-0409,sunsourcetanning@gmail.com,http://www.sunsourcetanning.com,1526 Montclair Rd,Birmingham,AL,35213,http://facebook.com/sunsourcetanning,,,,"['Mo-Fr 10:00-19:00', 'Sa 10:00-17:00']",5,7,22 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/sunsource-tanning-531740721?lid=1001332984408,"For The Best Tan In Alabama Go To SunSource Tanning.  A Premier Salon Since 2001.  We Offer 6 Levels Of Tanning For The Best Tanning Results Imaginable, Custom Spray Tanning, And Premium Skin Care Products. ;A  Premier Destination For Spray Tanning As Well.  We Provide Clients With A Consistent, Natural Looking Custom Spray Tan That Is Perfectly Customized TO Individual Skin Type And Personal Preference.  SunSource Is Known For Our Custom Color And Flawless Results. Come Check Us Out!  Looking For Your Total Sun Solution?  Look No Further!  Look Good....Feel Great!"
Santa Fe Day Spa,(205) 408-7221,santafedayspa@aol.com,http://www.santafedayspa.net,611 Doug Baker Blvd,Birmingham,AL,35242,https://www.facebook.com/pages/Santa-Fe-Day-Spa/107161272676008?fref=ts,,,,['Mo-Sa 09:00-20:00'],,,24 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/santa-fe-day-spa-20660154?lid=1000437161565,"Santa Fe Day Spa is a 7200 square foot metro spa and salon in the upscale Greystone area of Birmingham, AL. Catering to male and female guests with the amenities and services both enjoy in a facility with a cozy spa area with 10 treatment rooms, a couples suite with a hot tub, and waiting area with a faux fireplace. This Full Service Spa and Salon has 10 hair stations, 6 nail stations and 6 pipeless pedicure chairs. The facility also boosts a spa café as well as locker rooms for men and women with showers, hot tubs and steam rooms. Santa Fe Day Spa opened in October of 1999 and in Dec. of 2004 moved to The Village Lee Branch Shopping Center, a theatre, hotel, retail and restaurant complex on the Greystone Cooridor of Hwy. 280. They have a large staff of 35+ employees and accommodate bridal parties, corporate and group special event comfortably while providing personal services for the body, skin, nails and hair."
Hot Heads Hair Design,(205) 780-9095,carolyn.e.bland@gmail.com,,2108 Avenue E,Birmingham,AL,35218,https://facebook.com/hotheadshairdesign/,,,,"['We-Fr 15:00-20:00', 'Sa 09:00-15:00']",5,2,26 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/hot-heads-hair-design-2669869?lid=1001329788011,License # AL292
Diva African Braids and Beauty Shop and Hoover,(205) 824-4033,,http://www.divasafricanbraidingal.com,3137 Lorna Rd,Birmingham,AL,35216,,,,,['Mo-Su 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/diva-african-braids-and-beauty-shop-and-hoover-517096005?lid=1001281351561,"A Quality One-Stop Shop. Whether you're looking for a trendy hair cut or just something basic, let our expert stylist take care of your hair needs. WE work with hair of any length & any style providing shampoo and rinse withour cuts. Regardless of your hair type, we provide weaves that include a haircut and styling. Our professionals services include sew in weaves, quick weaves and track in weaves. If you're looking for hair relaxer services, rest assured that we use only the best products for this service. Our stylists' 25 years of combined experience provides excellent hair services for everyone. Whether it's for a wedding, prom, party or for your personal enjoyment, let us provide you the attractive hairstyle you're looking for."
Regis Salons,(205) 870-4477,departmentcs@regiscorp.com,http://regissalons.com,703 Brookwood Vlg,Birmingham,AL,35209,,,,,"['Mo-Sa 10:00-21:00', 'Su 12:00-18:00']",,,75 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/regis-salons-22330197,
Fantastic Sams,(205) 991-1646,ssimmons@fantasticsams.com,http://www.fantasticsams.com,2800 Greystone Commercial Blvd Ste 4B,Birmingham,AL,35242,,,,,"['Mo-Fr 10:00-19:00', 'Sa 10:00-18:00', 'Su 12:00-17:00']",,,49 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/fantastic-sams-17533028,
Supercuts,(205) 879-6804,departmentcs@regiscorp.com,https://www.supercuts.com,1919 28th Ave S Ste 102,Birmingham,AL,35209,,,,,"['Mo-Fr 09:00-20:00', 'Sa 09:00-19:00', 'Su 13:00-18:00']",,,27 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/supercuts-457707746,"Supercuts hair salon in Homewood at Merchants Walk Shopping Center offers a variety of services from consistent, quality haircuts for men and women to color services-all at an affordable price. Plus, shop for all the shampoos, conditioners and styling products you need to keep your new style looking great. Come to Supercuts at 1919 28Th Ave S Ste 102 for quality haircut at a moment's notice."
Natural Elements,(205) 238-0493,thenaturalhairartistshawn@yahoo.com,http://www.naturalelementsbirmingham.com,832 Green Springs Hwy # 105,Birmingham,AL,35209,,,,,"['Mo-Fr 11:00-18:00', 'Sa 09:00-17:00']",5,6,24 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/natural-elements-519140391,
Head Start Haircare,(205) 941-1850,,https://www.signaturestyle.com,429 Green Springs Hwy Ste 154,Birmingham,AL,35209,,,,,"['Mo-Fr 09:00-19:00', 'Sa 09:00-18:00', 'Su 13:00-18:00']",3.5,3,,,,,,https://www.yellowpages.com/birmingham-al/mip/head-start-haircare-468247021,"Stop by Head Start Haircare in Birmingham to freshen up your look at a moment's notice with the latest haircuts, styles, color, perms, highlights and more. Plus, shop from a variety of top-quality products for the shampoo, conditioner and styling products best for your hair. Visit Head Start Haircare at 429 Greensprings Hwy Ste 154 at the Edgemont Town Center for a great haircut today."
Divine Touch,(205) 201-2381,Dts@divinetsalon.com,http://divinetsalon.com,557 Huffman Rd,Birmingham,AL,35215,,,,,,5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/divine-touch-511340347,We have been located in this area for over 4 years and have a staff of well trained professional stylist and nail techs that CAN provide ALL your hair care and nail needs.
T Michae Styles,(205) 540-5133,tmichaestyles@gmail.com,,5406 Highway 280 Ste B105,Birmingham,AL,35242,,,,,['Tu-Sa 08:00-20:00'],5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/t-michae-styles-515755607,Over 15 years of experience. Specializing in natural hair blow outs and short hair.
Emanuel-A Salon,(205) 202-4094,,,2200 2nd Ave N,Birmingham,AL,35203,,,,,,5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/emanuel-a-salon-455803792,
Capeton Hair,(205) 980-9600,studio21hair@aol.com,,508 Cahaba Park Cir,Birmingham,AL,35242,,,,,,2.5,3,28 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/capeton-hair-509496363,
Tutwiler Barber Shop The,(205) 252-2785,bhmdn_hampton_suites@hilton.com,http://bit.ly/Tutwiler,2021 Park Pl,Birmingham,AL,35203,,,,,['Mo-Fr 09:00-17:00'],4,1,17 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/tutwiler-barber-shop-the-473481859,
Great Clips,(205) 777-3110,,https://salons.greatclips.com/us/al/birmingham/2030-3rd-ave-s,2030 3rd Ave S,Birmingham,AL,35233,,,,,"['Mo-Fr 09:00-19:00', 'Sa 09:00-17:00', 'Su 10:00-17:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/great-clips-573207831,"Great Clips Birmingham offers affordable haircuts for men, women, and kids. Great Clips salons offer various hair care services including haircuts, beard trims, bang trims, and shampooing. We are open evenings and weekends, no appointment necessary. Walk-ins welcome or check-in online to skip the wait. With ClipNotes, you'll get a great cut every time! We look forward to serving you!"
Salon Oasis,(205) 823-7710,salonoasis@slomodesign.com,https://salonoasis.net,3141 Lorna Rd,Birmingham,AL,35216,,,,,"['Mo-Fr 07:30-16:30', 'Sa 09:30-16:30']",,,11 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/salon-oasis-472505794,"Feeling beautiful affects you both inside and out. We want to help you achieve your inner beauty in a comfortable atmosphere. We take pride in our work to make sure you feel good and look great! We make you our top priority by delivering quality, professional services. We can’t wait to see you! Experience our salon and learn more about us and our talented staff."
Studio Vivir Salon and Spa,(205) 593-4753,,https://studiovivirsalonandspa.com,3000 Eagle Point Corporate Dr #300,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/studio-vivir-salon-and-spa-565257761,"Studio Vivir Salon and Spa is a professional hair salon in Birmingham, AL! Don't hesitate to call us now! We serve in Birmingham, AL, Chelsea AL; Highland Ave and 21st Pl S AL; Helena AL; Center Point AL; Moody AL; and the surrounding areas. Hair Salon, Hairdresser, Affordable Hair Salon, Professional Hair Salon, Hair Coloring Specialist Hair Coloring"
Angel's Hair World,(205) 490-6462,,,3659 Lorna Rd,Birmingham,AL,35216,,,,,,,,8 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/angels-hair-world-503991093,
Yeager's Hair Studio & Spa,(205) 987-2380,Yeagers@yhsspa.com,http://www.yhsspa.com,3821 Lorna Rd Ste 112,Birmingham,AL,35244,,,,,['Tu-Fr 11:00-18:00'],,,34 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/yeagers-hair-studio-spa-5614822,
The Shop on 78,(205) 903-4105,,,1970 Veteran's Memorial Drive,Birmingham,AL,35214,,,,,['Tu-Sa 08:00-18:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/the-shop-on-78-570328390,
Binta African Hair Braiding,(205) 323-0633,,,2325 4th Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/binta-african-hair-braiding-543663015,
Hair Techniques,(205) 254-3974,,,1901 6th Ave N Ste 258,Birmingham,AL,35203,,,,,['Mo-Fr 09:00-15:00'],,,34 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hair-techniques-459565540,
Denise's Anointed Hair Studio,(205) 328-5161,,,701 3rd Ave N,Birmingham,AL,35203,,,,,,,,23 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/denises-anointed-hair-studio-17478723,
Hala Hair & Make-Up Design Studio,(205) 599-2883,,,825 39th St S,Birmingham,AL,35222,,,,,['Mo-Fr 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/hala-hair-make-up-design-studio-455269770,
Oumis Hair,(205) 785-6888,bahjamilah@gmail.com,,4610 Avenue V,Birmingham,AL,35208,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/oumis-hair-530136407,
Rama African Hair Braiding,(205) 788-4996,,,2017 Avenue F,Birmingham,AL,35218,,,,,['Mo-Sa 08:00-20:00'],,,20 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/rama-african-hair-braiding-540620948,
The Hair Affair,(205) 798-6169,brenda@thehairaffaironline.com,,1626 Forestdale Plz,Birmingham,AL,35214,,,,,['Tu-Fr 08:00-15:00'],,,39 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/the-hair-affair-4470106,
RL Salon,(205) 980-4888,,,3000 Meadow Lake Dr Ste 106,Birmingham,AL,35242,,,,,"['Tu-Th 09:00-19:00', 'Fr-Sa 09:00-17:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/rl-salon-472866333,
Oeme Africa Hair Braiding,(205) 783-5828,,,1853 Center Point Pkwy,Birmingham,AL,35215,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/oeme-africa-hair-braiding-534748702,
Kenneth Clayton Salon,(205) 408-8744,,,5520 Highway 280,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/kenneth-clayton-salon-526647573,
Jai Rez,(205) 637-6535,,,9340 Helena Rd,Birmingham,AL,35244,,,,,['Mo-Su 07:00-20:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/jai-rez-503645997,
So Perfect Studio,(205) 783-1501,snide011@gmail.com,,2120 Morris Ave,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/so-perfect-studio-539093380,
Ciasia's Hairtique,(205) 566-2882,asiasboutique12@gmail.com,,1111 17th St N,Birmingham,AL,35234,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/ciasias-hairtique-560445265,
Anthony Heath's On Highland,(205) 703-6956,philipkoch1@me.com,,2717 Highland Ave S,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/anthony-heaths-on-highland-533277198,
Hair N More,(205) 983-7656,,,3052 29th Ave N,Birmingham,AL,35207,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/hair-n-more-545524261,
"Watts, Valerie",(205) 322-2900,,,107 6th Ave S,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/watts-valerie-505066513,
Tiffany G's Hair Salon,(205) 382-6533,,,3920 39th Ave N,Birmingham,AL,35217,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/tiffany-gs-hair-salon-474696302,
Lavita Hair Salon,(205) 224-5256,,,116 Green Springs Hwy,Birmingham,AL,35209,,,,,"['Mo-Sa 09:00-19:00', 'Su 09:00-15:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/lavita-hair-salon-541252800,
K Bella Hair,(205) 201-5826,,,406 W Valley Ave,Birmingham,AL,35209,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/k-bella-hair-544819669,
The Signature Salon,(205) 202-4079,,,26 Oporto Madrid Blvd N,Birmingham,AL,35206,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/the-signature-salon-530521627,
Blessed Hair Studio,(205) 423-5847,,,8315 1st Ave N,Birmingham,AL,35206,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/blessed-hair-studio-544302969,
Majorie Eye's On Hair,(205) 798-0230,,,1496 Forestdale Blvd,Birmingham,AL,35214,,,,,['Mo-Fr 09:00-17:00'],,,16 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/majorie-eyes-on-hair-4516732,
Shear Genius,(205) 681-6412,,,106 Pinson Pl,Birmingham,AL,35215,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/shear-genius-459540321,
Stephanie's Creative Hair Design,(205) 541-8048,,,,Birmingham,AL,35216,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/stephanies-creative-hair-design-504690660,
Flawless Stylez,(205) 563-0587,,,,Birmingham,AL,35234,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/flawless-stylez-495840118,
Veronica's House of Style,(205) 923-4974,,,1534 Bessemer Rd,Birmingham,AL,35208,,,,,['Mo-Fr 09:00-17:00'],,,24 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/veronicas-house-of-style-5458873,
Runway creation hair design studio,(205) 585-4594,,,1753 Jefferson Ave SW,Birmingham,AL,35211,,,,,['Mo-Sa 08:00-18:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/runway-creation-hair-design-studio-470494055,
Rob Harrelson Hair Group,(205) 870-8677,thehairdashery@gmail.com,https://thehairgroupsalon.com/connect,2931 18th St S,Birmingham,AL,35209,,,,,"['Tu-We 09:00-19:00', 'Th 09:00-18:00', 'Fr 09:00-17:00', 'Sa 09:00-16:00']",1.5,2,32 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/rob-harrelson-hair-group-4187387,
Vestavia Barber Shop,(205) 823-1974,vestaviabarbershop@gmail.com,http://www.vestaviabarbershop.com,1400 Montgomery Hwy,Birmingham,AL,35216,,,,,"['Tu-Fr 07:00-17:30', 'Sa 07:00-14:00']",5,2,64 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/vestavia-barber-shop-8817643,"In 1959 Mr. Jack Braswell and Mr. Ted Bedisole opened the doors of Vestavia Barber Shop. In 1974 Adam Austin (who previously owned Crestwood Barber Shop) came over the mountain and purchased the shop from the original owners. In 1978 Adam was joined by his daughter, Donna Austin McLaurin. Along came Randy McArthur (who owned and operated the barber school where Donna learned the trade) in 1979 and the three of them enjoyed growing the business and working together. Within a matter of 10 years they outgrew the original location and moved down the hill, next to Marks Outdoors. They have remained here for the past 27 years. Staying true to family owned and operated, they were joined by Randys sister, Melanie McArthur Miller who has been cutting alongside them for 28 years. This shop sets itself apart by having low turnover in employment, an example being Dana Jacobs who has worked here 18 years. In 2010, Adams granddaughter, Stevie McLaurin joined the team to keep the tradition going."
Joey's Mobile Barber,(205) 587-5263,,,1801 18th Street Ensley,Birmingham,AL,35218,,,,,['Mo-Fr 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/joeys-mobile-barber-472726080,
The Signature Salon,(205) 202-4079,,,2112 Morris Ave,Birmingham,AL,35203,,,,,['Mo-Fr 09:00-17:00'],,,11 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/the-signature-salon-468060054,
Southern Cuts,(205) 426-9492,,,597 Bessemer Super Hwy,Birmingham,AL,35228,,,,,['Mo-Fr 09:00-17:00'],,,13 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/southern-cuts-4235672,
Laraje's House of Styles,(205) 907-0615,,,4400 Hunter Ridge Ln,Birmingham,AL,35235,,,,,['Mo-Fr 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/larajes-house-of-styles-474479741,
Stephanie's Creative Hair Design,(205) 541-8048,,,,Birmingham,AL,35216,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/stephanies-creative-hair-design-504690660,
Flawless Stylez,(205) 563-0587,,,,Birmingham,AL,35234,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/flawless-stylez-495840118,
Veronica's House of Style,(205) 923-4974,,,1534 Bessemer Rd,Birmingham,AL,35208,,,,,['Mo-Fr 09:00-17:00'],,,24 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/veronicas-house-of-style-5458873,
Supercuts,(205) 980-1111,departmentcs@regiscorp.com,http://www.supercuts.com,4509 Valleydale Rd,Birmingham,AL,35242,,,,,['Mo-Sa 08:30-18:00'],,,41 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/supercuts-12722008,
Runway creation hair design studio,(205) 585-4594,,,1753 Jefferson Ave SW,Birmingham,AL,35211,,,,,['Mo-Sa 08:00-18:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/runway-creation-hair-design-studio-470494055,
Rob Harrelson Hair Group,(205) 870-8677,thehairdashery@gmail.com,https://thehairgroupsalon.com/connect,2931 18th St S,Birmingham,AL,35209,,,,,"['Tu-We 09:00-19:00', 'Th 09:00-18:00', 'Fr 09:00-17:00', 'Sa 09:00-16:00']",1.5,2,32 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/rob-harrelson-hair-group-4187387,
Regis Salons,(205) 870-4477,,http://www.regissalons.com,429 Green Springs Hwy Ste 703,Birmingham,AL,35209,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/regis-salons-475950081,
