Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
"DeWitt, William E Dr",(205) 798-2428,,http://forestdaleveterinary.com,1320 Forestdale Blvd,Birmingham,AL,35214,,,,,['Mo-Fr 07:00-18:00'],,,17 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dewitt-william-e-dr-21355387,
"Wendling, Natalie",(205) 991-9580,,,4640 Highway 280,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/wendling-natalie-466593291,
"Dismukes, Jana Korsch DVM, Diplomate, ACVO",(205) 991-9580,,,4640 Highway 280,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dismukes-jana-korsch-dvm-diplomate-acvo-526146187,
"Dismukes, Jana Korsch DVM, Diplomate, ACVO",(205) 991-9580,,,4640 Highway 280,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dismukes-jana-korsch-dvm-diplomate-acvo-526146187,
Veterinary Specialists of Birmingham,(205) 967-9107,,https://vsbham.com/?y_source=1_NTA5ODQxNTYtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,146 Resource Center Pkwy,Birmingham,AL,35242,,,,,,,,28 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/veterinary-specialists-of-birmingham-552093539,
Steakley Dominika DVM,(205) 991-9580,,,4640 Highway 280,Birmingham,AL,35242,,,,,"['Mo 07:00-18:00', 'Tu 07:00-21:00', 'We 07:00-18:00', 'Th 07:00-21:00', 'Fr 07:00-18:00', 'Sa 07:00-17:00', 'Su 13:00-18:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/steakley-dominika-dvm-452687672,
Arthur Serwitz DVM,(205) 991-9580,,,4640 Highway 280,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/arthur-serwitz-dvm-462197575,
Jennifer Wallach DVM,(205) 991-9580,,,4640 Highway 280,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/jennifer-wallach-dvm-479168172,
Cusimano Layla DVM,(205) 991-9580,,,4640 Highway 280,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/cusimano-layla-dvm-502811610,
Cox T. Amelia DVM,(205) 991-9580,,,4640 Highway 280,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/cox-t-amelia-dvm-527702597,
Amy Tate DVM,(205) 991-9580,,,4640 Highway 280,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/amy-tate-dvm-541083779,
Chris Campbell DVM,(205) 991-9580,,http://riverviewanimalclinic.net,4640 Highway 280,Birmingham,AL,35242,,,,,"['Mo 07:00-18:00', 'Tu 07:00-21:00', 'We 07:00-18:00', 'Th 07:00-21:00', 'Fr 07:00-18:00', 'Sa 07:00-17:00', 'Su 13:00-18:00']",,,67 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/chris-campbell-dvm-542117795,
Strickland John P DVM,(205) 991-2556,,,4647X Highway 280,Birmingham,AL,35242,,,,,['Mo-Fr 09:00-17:00'],,,37 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/strickland-john-p-dvm-9082489,
"Bentley, Britni DVM",(205) 833-9400,,,992 Huffman Rd,Birmingham,AL,35215,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/bentley-britni-dvm-497795566,
"Pelham, Mark Dr",(205) 833-9400,,,992 Huffman Rd,Birmingham,AL,35215,,,,,['Mo-Fr 08:30-17:00'],,,32 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/pelham-mark-dr-455878014,
Well Being Medicine For Animals,(205) 637-6653,wbm4animals@gmail.com,http://www.wellbeingpetcare.com,3557 Cahaba Beach Rd,Birmingham,AL,35242,,,,,"['Mo 13:00-18:00', 'Tu 10:00-18:00', 'Th 10:00-18:00']",,,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/well-being-medicine-for-animals-510720888,
Mark L Miller DVM,(205) 980-0078,cvac2209@gmail.com,http://cvacvet.com,2209 Cahaba Valley Dr,Birmingham,AL,35242,,,,,"['Mo-Fr 07:00-18:30', 'Sa 08:00-14:00', 'Su 17:30-18:30']",,,33 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/mark-l-miller-dvm-16350965,
VIP Petcare Community Clinic,(205) 582-1488,,https://www.vippetcare.com,1672 Gadsden Hwy,Birmingham,AL,35235,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/vip-petcare-community-clinic-574135225,
"Crisman, Jay",(205) 991-5446,,,5490 Highway 280,Birmingham,AL,35242,,,,,['Mo-Fr 09:00-17:00'],,,22 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/crisman-jay-25047125,
Mark Kidd DVM,(205) 991-5446,,,5490 Highway 280,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/mark-kidd-dvm-451109557,
Southlake Animal Hospital,(205) 988-8732,Southlakevets@gmail.com,http://southlakevets.com,4506 Lake Valley Dr,Birmingham,AL,35244,,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-12:00', 'Su 16:00-17:00']",,,27 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/southlake-animal-hospital-470254545,
Parkway Veterinary Clinic,(205) 854-4614,,,2413 Center Point Pkwy,Birmingham,AL,35215,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/parkway-veterinary-clinic-2887377,
"Woodruff, Patrice Dr",(205) 681-9669,,http://pinsonanimalhospital.com,5161 Pinson Valley Pkwy,Birmingham,AL,35215,,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-13:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/woodruff-patrice-dr-18179057,
"Martin, Elliott H DR",(205) 681-9669,,,5161 Pinson Valley Pkwy,Birmingham,AL,35215,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/martin-elliott-h-dr-451167597,
"Martin, Craig DR",(205) 681-9669,,http://pinsonanimalhospital.com,5161 Pinson Valley Pkwy,Birmingham,AL,35215,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/martin-craig-dr-502984743,
At Home Pet Care PC,(205) 616-5184,,https://www.fetchpetcare.com/birmingham/services,,Birmingham,AL,35210,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/at-home-pet-care-pc-17444606,
Alabama Ambulatory Animal Care,(205) 533-1429,,,,Birmingham,AL,35209,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-ambulatory-animal-care-20559282,
Montgomery Caroline DVM,(205) 985-2023,,,,Birmingham,AL,35203,,,,,"['Mo-Fr 07:30-18:00', 'Sa 08:00-12:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/montgomery-caroline-dvm-451117781,
Westwood Animal Hospital,(205) 791-0284,westwoodanimal@bellsouth.net,,2108 Veterans Memorial Dr,Birmingham,AL,35214,,,,,['Mo-Fr 07:30-17:30'],5,3,,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/westwood-animal-hospital-3185844,"Dr. Paul Marshall, Veterinarian"
Cardiac Evaluations,(205) 967-9134,dr.straeter@gmail.com,http://petcardiologist.com,2704 19th St S,Birmingham,AL,35209,,,,,['Mo-Th 08:00-18:00'],5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/cardiac-evaluations-461846128,
Center Point Animal Clinic,(205) 853-3340,tdawkinsdvm@yahoo.com,,1704 Center Point Pkwy,Birmingham,AL,35215,,,,,"['Mo-Tu 06:00-18:00', 'We 08:00-12:00', 'Th-Fr 06:00-18:00', 'Sa 08:00-12:00']",5,1,63 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/center-point-animal-clinic-2495834,
Double Oak Mountain Animal Clinic,(205) 991-5446,doubleoakmtn@aol.com,http://doubleoakmountainvet.com,5490 Highway 280,Birmingham,AL,35242,,,,,"['Mo-Fr 06:30-18:00', 'Sa 07:00-13:00', 'Su 05:00-18:00']",4,1,26 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/double-oak-mountain-animal-clinic-6780032,Serving You And Your Pets in the 280 Corridor!
Lake Crest Animal Clinic,(205) 403-4003,audvm03@gmail.com,http://www.lakecrestanimalclinic.com,551 Lake Crest Dr,Birmingham,AL,35226,,,,,"['Mo-Th 07:00-20:00', 'Fr 07:00-18:00', 'Sa 07:00-16:00', 'Su 16:00-18:00']",,,11 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/lake-crest-animal-clinic-471937324,A full service veterinary clinic open 7 days a week and for extended hours. We can handle all of your pet's needs. We also see exotic pets.
Oxmoor Animal Clinic,(205) 224-0951,,https://www.oxmooranimalclinic.com,1732 Oxmoor Rd,Birmingham,AL,35209,https://www.facebook.com/OxmoorAC,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-12:00', 'Su 16:00-17:00']",3.5,3,41 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/oxmoor-animal-clinic-4256291?lid=1002110132509,"Dr. Mary Claytor opened Oxmoor Animal Clinic in 1982, 1 year out of veterinary school. Over the past 35 years, she has established herself in the Birmingham veterinary community and gained a devoted clientele, without whom Oxmoor could not be thriving today. Come by and see Dr. Mary Claytor and Dr. Kerry Sprayberry, and become part of the Oxmoor family! Call us today!"
Carson Road Pet Clinic,(205) 856-1999,carsonrdpetclinic@att.net,,2332 Carson Rd,Birmingham,AL,35215,https://www.facebook.com/pages/category/veterinarian/carson-road-pet-clinic-226927678458,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-12:00']",1,1,34 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/carson-road-pet-clinic-12948178?lid=1001616295183,
Grayson Valley Pet Clinic,(205) 856-3804,gvvet@att.net,https://www.facebook.com/pages/Grayson-Valley-Pet-Clinic/265287669391,5624 Chalkville Rd,Birmingham,AL,35235,https://www.facebook.com/Grayson-Valley-Pet-Clinic-265287669391/?fref=ts,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-12:00']",4,9,41 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/grayson-valley-pet-clinic-525849057?lid=1001329786633,"With over 30 years of experience Grayson Valley Pet Clinic can help you with all of your needs. Appointments are preferred, but walk-ins are welcome. Of course, if your pet ever has a medical emergency, bring it in immediately and we will see it promptly."
Red Mountain Animal Clinic,(205) 326-8080,redmountainac@gmail.com,http://redmountainac.com,2148 Green Springs Hwy S,Birmingham,AL,35244,https://www.facebook.com/pages/red-mountain-animal-clinic/126009664121125,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-12:00']",4,5,48 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/red-mountain-animal-clinic-11580933?lid=1001494369667,Please contact us for more information.
Midfield Animal Clinic,(205) 925-0099,midfieldanclinic@gmail.com,http://www.asbvme.alabama.gov/default.aspx,1301 57th St W,Birmingham,AL,35228,https://www.facebook.com/pages/midfield-animal-clinic/162458103773299,,,,['Mo-Sa 08:00-18:00'],,,49 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/midfield-animal-clinic-12201737?lid=1001328382959,
Montclair Animal Clinic,(205) 595-4440,,,739 Montclair Rd,Birmingham,AL,35213,https://www.facebook.com/pages/montclair-animal-clinic/104176912982951,,,,['We 08:00-05:00'],,,52 Years,10 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/montclair-animal-clinic-14612786?lid=1000116525634,We offer quality service by caring professionals.
Vulcan Park Animal Care,(205) 870-4500,vulcanparkanimalcare@yahoo.com,,1779 Valley Ave,Birmingham,AL,35209,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-12:00', 'Su 16:00-18:00']",5,1,19 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/vulcan-park-animal-care-454104549,
VCA Becker Animal Hospital,(205) 871-2371,AU406@VCA.com,http://www.localvets.com/p/citygrid2/vca-becker-animal-hospital-homewood-alabama.html,1901 27th Ave S,Birmingham,AL,35209,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-14:00']",3,2,27 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/vca-becker-animal-hospital-468112444,"At VCA, your pet's health is our top priority and excellent service is our goal. We treat each pet knowing it is an extension of your family. Our dedicated staff of veterinarians, board certified specialists, and technicians strive each day to give your pet the very best in medical care. We understand how important it is to have a local veterinarian you can trust and who, most importantly, knows your pet almost as well as you. With nearly 600 hospitals in 42 States, we've built a network of trusted local animal health providers giving the finest care for the pets in your family. We invite you to get to know our caring staff! New VCA patients are eligible for a FREE First Exam - a risk-free opportunity to learn what makes VCA so different. 
 
We’re looking forward to meeting you and your pet and demonstrating our commitment to providing your pet the highest quality care!"
Homewood Animal Hospital,(205) 943-0008,homewoodanimalinfo@gmail.com,http://www.homewoodanimal.com,501 Scott St,Birmingham,AL,35209,,,,,"['Mo-Fr 08:00-17:30', 'Sa 08:00-12:00']",5,2,27 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/homewood-animal-hospital-8485875,
Pinson Animal Hospital,(205) 681-9669,pinsonah@aol.com,http://www.pinsonah.com,5161 Pinson Valley Pkwy,Birmingham,AL,35215,,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-13:00']",,,65 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/pinson-animal-hospital-451070110,"Located in Birmingham, Ala., Pinson Animal Hospital is a full-service veterinary medical hospital. It offers a complete range of services, which include wellness care and immunizations, surgery, dental care, laser procedures, grooming, bathing, radiology, emergency and critical care, pain management and behavioral medicine. In addition, it renders preventive health care and health-related educational solutions to its clients. Pinson Animal Hospital even renders complete tests, dog care, disease maintenance and nutritional and weight loss counseling options."
Avondale Animal Hospital,(205) 322-8566,avondaleanimal@gmail.com,https://avondaleanimal.com,3624 5th Ave S,Birmingham,AL,35222,,,,,['Mo-Sa 07:00-18:00'],,,6 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/avondale-animal-hospital-543117666,"Avondale Animal Hospital is here to be your partner in your pet's health. Conveniently located near Southside Birmingham, Highland Park, Forest Park, Avondale, Crestwood, Irondale and downtown Birmingham. Our services include wellness exams, vaccinations, puppy, kitten and senior care, early disease detection testing, parasite prevention and control, nutritional counseling, pet pharmacy and retail store, microchipping, dermatology, dental care, laboratory and diagnostics, pain management, surgery, emergency services, blood and plasma transfusions and international health certificates. 
 
Thank you! Avondale Animal Hospital was named ""Neighborhood Favorite Veterinarian"" in Birmingham on Nextdoor!"
"Grimmett, Carl DVM",(205) 856-3804,,http://graysonvalleypets.com,5632 Chalkville Rd,Birmingham,AL,35235,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-12:00']",,,41 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/grimmett-carl-dvm-8186868,"Grayson Valley Pet Clinic specializes in small animal and exotic medicine, surgery, ultrasound and endoscopy. Appointments are preferred, but walk-ins are welcome. Of course, if your pet ever has a medical emergency, bring it in immediately and we will see it promptly."
Dr William D Lamb Dvm,(205) 870-4500,vulcanparkanimalcare@yahoo.com,,1779 Valley Ave,Birmingham,AL,35209,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-12:00', 'Su 16:00-18:00']",,,14 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-william-d-lamb-dvm-586030,
Riverview Animal Clinic PC,(205) 991-9580,,http://riverviewanimalclinic.net,4640 Highway 280,Birmingham,AL,35242,,,,,"['Mo 07:00-18:00', 'Tu 07:00-21:00', 'We 07:00-18:00', 'Th 07:00-21:00', 'Fr 07:00-18:00', 'Sa 07:00-17:00', 'Su 13:00-18:00']",4,5,67 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/riverview-animal-clinic-pc-720561,"The old Motel for Pets was built in 1956 by Dr. Jack Baker. It operated as a boarding facility until 1984, when Dr. Arthur Serwitz purchased and renovated it to accommodate a veterinary clinic, the Riverview Animal Clinic. Over the years, the facility has undergone several small renovations and two major additions. The last addition and renovation, which was finished in July 1996, doubled the space of the previous facility. The clinic has reorganized its boarding facility to separate dogs and cats completely, while maintaining a comfortable capacity of about 200 animals that might stay there on a holiday weekend or popular vacation time. Its grooming facility has been increased and renovated to accommodate he new demands. The clinic has significantly increased its hospital space, going from three to seven exam rooms and enlarged its treatment area. It added an additional surgery suite, a separate cat hospital ward and an exotic animal ward. It also added an intensive care unit. Services include preventative health care, boarding, pet food and supplies, diagnostic testing, senior animal health care, emergency services, hospitalization, behavior counseling and treatment, surgery, grooming and dental care. The Riverview Animal Clinic is located in Birmingham, Ala."
Trussville Main Street Animal Clinic,(205) 655-0065,trussvillemsac@gmail.com,https://trussvillemsac.com,1921 Gadsden Hwy,Birmingham,AL,35235,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-14:00', 'Su 16:00-17:00']",5,1,20 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/trussville-main-street-animal-clinic-5172273,Main Street Animal Clinic has been proud to provide the Trussville area with the highest quality healthcare available for your pets since opening in 2003. We believe in taking the time to educate our clients and encourage everyone to take an active role in their petâ??s healthcare. The experienced staff at Main Street Animal Clinic understands that our pets are our family members and we are proud to go the extra mile to ensure top tier care and customer service. We hope you will give us the chance to form a lifelong bond with you and your four-legged family!
Standifer Animal Clinic,(205) 871-8186,,http://www.standiferanimalclinic.com,2810 19th Pl S,Birmingham,AL,35209,,,,,['Mo-Sa 07:00-18:30'],5,1,65 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/standifer-animal-clinic-472516948,"Clinic Staff Dr. Wayne Standifer DVM. Dr. Standifer is a 1982 graduate of the Auburn School of Veterinary Medicine where his father, the late, Dr. William Standifer also graduated in 1951 and founded Standifer's Animal Clinic in 1957. ""I have few memories not associated in someway to veterinary medicine and pets. Like many of our clients I have shared my life with my pets. My decades are numbered by my old dogs names. I feel honored to serve my community as a veterinarian, share in the lives of so many, and linked to the tradition of service that is Standifer's Animal Clinic Dr. Candice Adkins DVM. Dr. Adkins is originally from Eastern Kentucky. She has a B.A. degree in Biology from Pikeville College, an M.S. in Biology with an emphasis in Microbiology from Eastern Kentucky University and a D.V.M. from Auburn's College of Veterinary Medicine. After graduating from veterinary medical school, Dr. Adkins moved to Northern Ohio where she worked as a small and exotics animal practitioner at a progressive clinic. She also worked at the Akron Zoo, several wildlife organizations, and pet stores. She moved to Birmingham with her fianc (now husband), Dr. Jesse Pace in 2008. She has been practicing high quality medicine and surgery at Standifer's Animal Clinic since April 2009. Dr. Adkins enjoys working with cats, dogs, and other exotic pets. Her personal interests are camping, hiking, anything outdoors, and running. She has five pets: two dogs, Maxwell and Agent 99 (aka Squidbitty); two cats, Macy and Blue; and a guinea pig named Spackle Black Toe. Dr. Shae Hicks DVM. A native of Birmingham, Alabama, Dr. Hicks was born and raised in the small town of Gardendale, where from a very young age, she always aspired to become a veterinarian. Dr. Hicks attended Mortimer Jordan High School and worked as a veterinary technician throughout school. Following graduation she studied biology and fine art at Huntingdon College, in Montgomery, Alabama, and graduated with a Bachelor's of Fine Arts, magna cum laude. She also excelled as a four-year-starter and All-Conference setter on the Huntingdon Volleyball Team. Dr. Hicks' childhood dream was finally fulfilled when she was accepted in Auburn University's College of Veterinary Medicine. There, she participated in the student chapter of the American Veterinary Association and received the 2009 Small Animal Medicine Clinical Proficiency Award as well as the Jefferson County Veterinary Medical Association Scholarship."
Valleydale Animal Clinic,(205) 991-5416,clientcare@valleydaleanimalclinic.com,https://valleydaleanimalclinic.com,4680 Valleydale Rd,Birmingham,AL,35242,,,,,"['Mo-Fr 07:00-17:15', 'Sa 08:00-12:00', 'Su 04:00-17:00']",,,47 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/valleydale-animal-clinic-17742282,"Valleydale Animal Clinic is an AAHA-accredited, full-service vet clinic that has proudly supported pet owners in Birmingham, Hoover, Chelsea, Indian Springs and other areas of Jefferson County and Shelby County since 1976. 
 
Our staff treats you like family and each pet like our own. We are honored and proud to be a partner in your pet's healthcare team. As pet owners ourselves, we believe that preventative care with wellness exams are the keys to your pet living a longer, healthier, and happier life. 
 
As a full-service veterinary office, we offer state-of-the-art testing and diagnostics, routine and advanced surgical procedures, and many other services to provide your pet with the best possible care. We welcome new patients to our office."
Altadena Valley Animal Clinic.,(205) 967-7383,,http://www.altadenavalleyanimalclinic.com,2898 Acton Rd,Birmingham,AL,35243,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-12:00']",4,4,8 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/altadena-valley-animal-clinic-21801197,
Caldwell Mill Animal Clinic,(205) 991-7986,info@cmacvet.com,http://www.cmacvet.com,5196 Caldwell Mill Rd,Birmingham,AL,35244,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-14:00', 'Su 17:00-18:00']",,,35 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/caldwell-mill-animal-clinic-1206330,"At Caldwell Mill Animal Clinic, we treat your pets like we would our own. We want your pet to look, feel and smell better when they go home than when they came in. We invite you to browse our website to learn more about us and our passion for service! Come visit us today and let you and your pet experience the difference of Caldwell Mill Animal Clinic. Our wonderful staff are always here to serve you!"
Cahaba Valley Animal Clinic,(205) 980-0078,ahorne_pm@hotmail.com,http://www.cvacvet.com,2209 Cahaba Valley Dr,Birmingham,AL,35242,,,,,"['Mo-Fr 07:00-18:30', 'Sa 08:00-14:00', 'Su 17:30-18:30']",,,33 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/cahaba-valley-animal-clinic-4771050,"Cahaba Valley Animal Clinic offers health care services for pets. The clinic specializes in the areas of preventative care, orthopedic, dental and radiology. It offers a variety of pet food items and supplies. The clinic also has an in-house pharmacy and lab to treat and diagnose your pet.  "
Hoke Animal Clinic,(205) 956-6096,greenspringsanim@yahoo.com,http://www.gsaclinic.com,1559 Cooper Hill Rd,Birmingham,AL,35244,,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-12:00', 'Su 15:30-17:00']",5,2,58 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/hoke-animal-clinic-10538702,We're pleased to offer the following services at Green Springs Animal Clinic:   Surgery / Internal Medicine  Laser Surgery  Ultrasonography  Dentistry  Radiology  Climate Controlled Boarding/Day Care with Runs available  Grooming   Convenient Sunday Hours  Ofrecemos servicios  en Español
Advanced Veterinary Care of Vestavia,(205) 823-5433,avc.mediamarketing@gmail.com,http://www.avcov.net,2509 Rocky Ridge Rd,Birmingham,AL,35243,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-14:00', 'Su 15:00-18:00']",5,1,36 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/advanced-veterinary-care-of-vestavia-472409433,"Our top notch team at Advanced Vet Care is committed to providing our community convenient, compassionate veterinary care, with an emphasis on preventative medicine. Our Doctors, Tammy Stumpff, DVM, Dara Dickey, DVM, and Erica Hanson, DVM are licensed, experienced veterinarians with over 50 years combined experience. In addition to scheduled appointments, we offer a convenient morning drop-off service for clients which enables them to drop their pet off at AVC for medical services, and return after 5 pm to pick them up. Walk-ins and emergencies are accepted, as well. Our Doctors treat a variety of medical and surgical cases, as well as provide preventative care for our patients and education for our clients. In addition to our full service medical practice we are also equipped with a top of the line boarding facility, The Pawms, who provide a variety of services including boarding, doggie daycare, dog training and dog grooming."
Inverness Animal Clinic PC,(205) 991-2556,invernessgolf@invernessgolf.net,https://www.facebook.com/InvernessAnimalClinic/about/?entry_point=page_nav_about_item&tab=overview,4647 Highway 280,Birmingham,AL,35242,,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-23:59', 'Su 05:00-18:00']",5,1,37 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/inverness-animal-clinic-pc-519566852,"The Inverness Animal Clinic is a full-service Veterinary Medical, Dental and Surgical facility offering personalized and individualized service for you and your pets. In addition, we are members of and maintain a close working relationship with a high quality emergency facility and a multi-discipline Veterinary specialty group. Appointment & drop-offs preferred. Walk-ins accepted. New clients are welcome. We are conveniently located at Inverness Parkway & Hwy 280. We want to be your neighborhood Vet."
Green Springs Animal Clinic,(205) 942-5144,,http://www.gsaclinic.com,434 Carr Ave,Birmingham,AL,35209,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-12:00', 'Su 15:00-17:00']",5,1,47 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/green-springs-animal-clinic-18472899,
Colbert Timothy DVM,(205) 323-1538,,,3222 6th Ave S,Birmingham,AL,35222,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/colbert-timothy-dvm-11253357,"Lakeview Pet Wellness  Vetrinary Care, Day Care & Boarding"
Nall Daniels Animal Hospital,(205) 879-3409,info@nalldaniels.com,https://nalldaniels.com,2829 Central Ave,Birmingham,AL,35209,,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-13:00']",,,72 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/nall-daniels-animal-hospital-18346953,"At Nall Daniels Animal Hospital, we never say no. Instead, we embrace the challenge and do everything we can to meet your and your pet’s needs. Our veterinarians in Homewood, AL take care of pets from all over the area, including Vestavia Hills and Birmingham. Patients benefit from the latest, best veterinary equipment, a talented staff and experienced veterinarians, and we provide services beyond that of other animal hospitals in the area. Yet we stay close to our roots, and keep to old-school, family-oriented values that make every visitor feel at home."
Total Pet Care Hospital,(205) 655-3991,tdawkinsdvm@yahoo.com,,5965 Service Rd,Birmingham,AL,35235,,,,,"['Mo-Tu 06:00-18:00', 'We 08:00-12:00', 'Th-Fr 06:00-18:00', 'Sa 08:00-12:00']",,,29 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/total-pet-care-hospital-8337339,Full service animal hospital
Birmingham Animal Hospital + Resort,(205) 406-6710,,https://birminghamanimalhospital.com,2316 1st Ave S,Birmingham,AL,35233,,,,,"['Mo-Fr 06:00-19:00', 'Sa 07:00-12:00', 'Su 16:00-18:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/birmingham-animal-hospital-resort-572988094,"Providing Exceptional Veterinary Care, Boarding, Daycare & Grooming Services. Our caring, compassionate staff offers top-notch veterinary care, boarding, daycare & grooming in a modern, new facility. We serve cats & dogs in the greater Birmingham AL metro area: Birmingham, Homewood, Mountain Brook, Forest Park, Vestavia Hills & more"
Cat Haven Animal Clinic,(205) 252-2287,cathaven2287@att.net,,829 38th St S,Birmingham,AL,35222,,,,,"['Mo-Tu 07:30-17:00', 'We 07:30-12:00', 'Th-Fr 07:30-17:00', 'Sa 07:30-12:00']",,,23 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/cat-haven-animal-clinic-3111946,
