Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Samaritan Counseling Center,(205) 967-3660,,http://www.samaritancc.org,100 Missionary Rdg,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],,,44 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/samaritan-counseling-center-470772868?lid=1000966232978,"Samaritan Counseling Centers offer counseling and coaching services for a wide variety of problems and issues, including anxiety, depression, grief and loss, trauma, and addictions.  We also offer premarital and spiritual counseling, as well as assistance with relationships, sex and intimacy, and marriage and family issues.  If medical or psychological problems beyond our expertise are identified, our counselors are quick to refer to medical or other specialists, as indicated.

In addition, as a non-profit organization, we are committed to supporting the diverse communities of greater Birmingham and to extending our services to marginalized and under-served persons.  As an example, we provide counseling and education services for the homeless in partnership with the Firehouse Shelter and other community support agencies.  In addition, with the demonstration of need, we are often able to discount our fees for clients who are suffering financial hardship.

If you or a loved one is looking for a safe and respectful place for help, hope, and healing, consider giving Samaritan Counseling a call.  Our appointment desk can be reached at 205-967-3660 from 9:00 a.m. until 5:00 p.m. Monday through Friday.  We are often able to offer after-hours appointments by special request.  We stand ready to assist individuals of all ages, including families and small children.

Samaritan Counseling Centers of Greater Birmingham also offers professional coaching services and coach training.  To learn more about our coaching program, Coaching Through the Gaps, click here."
Westminster School at Oak Mountain,(205) 995-9694,keddins@westminsterknights.org,http://www.westminsterknights.org,5080 Cahaba Valley Trce,Birmingham,AL,35242,https://www.facebook.com/pages/oak-mountain-elementary-school/103679929699947,,,,['Mo-Fr 08:00-17:00'],3,1,34 Years,9 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/westminster-school-at-oak-mountain-5243285?lid=1000621617632,
Riverchase Community Church,(205) 988-8515,office@riverchase.cc,http://www.riverchase.cc,2053 Old Montgomery Hwy,Birmingham,AL,35244,,,,,"['Mo-Fr 08:00-17:00', 'Su 09:30-12:00']",,,30 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/riverchase-community-church-12722565,"Riverchase Community Church offers a range of worship and religious services. It is a Christian facility that operates a children s ministry that educations students in kindergarten through grade 12. The church manages Mother's Of Preschoolers. Riverchase Community Church provides services for individual with developmental disabilities. It has a puppet ministry that provides instruction in music, skits and songs. The church s prayer ministry conducts Bible study and prayer sessions. Riverchase Community Church also provides guidance counseling sessions. It provides opportunities for students to participate in sports activities, such as basketball and softball."
South Roebuck Community Church,(205) 836-7288,diane@southroebuckchurch.com,http://www.southroebuckchurch.com,501 Mountain Dr,Birmingham,AL,35206,,,,,['Mo-Fr 07:00-18:00'],,,68 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/south-roebuck-community-church-714270,
Faith Chapel Christian Center,(205) 785-9673,OfficeStaff@worddome.net,http://www.faithchapel.net,100 Lexington St,Birmingham,AL,35224,,,,,['Mo-Fr 08:00-17:00'],5,5,42 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/faith-chapel-christian-center-17144167,
New Beginnings Family Baptist Church,(205) 929-6274,newbeginningsfam@att.net,http://www.newbeginningsfamily.org,500 B Y Williams Sr Dr,Birmingham,AL,35228,,,,,"['Mo 18:00-20:00', 'We 18:30-20:00', 'Fr 18:30-20:30', 'Su 09:00-13:00']",,,20 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/new-beginnings-family-baptist-church-6922092,
International Faith Ministries,(205) 849-7729,InternationalFaith@att.net,,720 Lynn Ave,Birmingham,AL,35217,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/international-faith-ministries-13536074,
The Church At Brook Hills,(205) 313-7777,,http://brookhills.org,3145 Brook Highland Pkwy,Birmingham,AL,35242,,,,,,,,33 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/the-church-at-brook-hills-458673605,"Through an amalgamation of global and local ministries, The Church at Brook Hills offers various services, including worship gathering and prayer services. It also offers pastoral care, community, fellowship,and musical programs. The church includes preschool, men's, children's, women's, student, married and adult ministries. It also includes an early learning center, which provides Bible-based developmental and academic programs for preschoolers.  As a member of the Southern Baptist Convention, The Church at Brook Hills is aligned with more than 42,000 churches across the United States. The convention supports over 10,000 missionaries worldwide through the North American Mission Board and the International Mission Board. The Church at Brook Hills is located in Birmingham, Ala."
Worship And Deliverance,(205) 786-7111,,,711 22nd St N,Birmingham,AL,35203,,,,,"['Mo 18:00-19:00', 'We 19:00-20:30', 'Su 08:00-11:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/worship-and-deliverance-461836134,"Come by one of our convenient services on Monday, Wednesday, or Sunday!"
The Worship Center,(205) 451-1750,,http://theworshipcentercc.org,9553 Parkway E,Birmingham,AL,35215,,,,,"['Mo-Fr 08:30-17:30', 'Su 08:00-13:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/the-worship-center-9122025,
Point of Praise,(205) 578-8777,,,7 Huddle Dr Ste C,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/point-of-praise-465332153,
Rhema Word Ministries,(205) 873-2574,rhemawm@yahoo.com,http://www.kjmack.org,900 39th St N,Birmingham,AL,35222,,,,,,5,2,,,,,,https://www.yellowpages.com/birmingham-al/mip/rhema-word-ministries-479988017,
St Albans Episcopal Church,(205) 822-2330,stalbansbham@gmail.com,http://www.stalbansbham.org,429 Cloudland Dr,Birmingham,AL,35226,,,,,,,,61 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/st-albans-episcopal-church-469542922,
St Barnabas,(205) 833-0334,church@barnabascatholic.com,http://barnabascatholic.com,7921 1st Ave N,Birmingham,AL,35244,,,,,['Mo-Su 07:00-09:00'],,,42 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/st-barnabas-3422566,
Forestdale Baptist School,(205) 798-1248,janicegibbons06@yahoo.com,,1400 Brisbane Ave,Birmingham,AL,35214,,,,,['Mo-Fr 07:00-18:00'],,,69 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/forestdale-baptist-school-8383904,
Birmingham Baptist Association,(205) 599-3246,info@bbaonline.org,,750 Montclair Rd,Birmingham,AL,35213,,,,,['Mo-Th 08:30-16:30'],,,48 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/birmingham-baptist-association-11597929,"Churches working together...to meet needs...to change lives.  The Birmingham Baptist Association is a partnership of 135 congregations in the Metro-Birmingham area.  BBA provides year-round opportunities for church members live a Christian witness to their neighbors through block parties and outreach, to those in need through feeding and housing, and to the ends of the earth through missions trips and disaster relief work.  The Association brings churches together in numerous short-term and long-term volunteer projects as well as providing shared resources for each church: training for lay ministers, leadership development for church staff, media library materials, and consultation on church issues.  Member churches can receive support through leadership training, legal and financial consultation, our educational resources library, and planning of group events."
Gaines Chapel Ame Church,(205) 791-6603,,,1601 Daniel Payne Dr,Birmingham,AL,35214,,,,,,,,13 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/gaines-chapel-ame-church-9997902,
First Ebenezer Baptist Church,(205) 251-3319,,http://www.febcgraymont.org,420 Graymont Ave N,Birmingham,AL,35204,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/first-ebenezer-baptist-church-1128320,
World Victory Church,(205) 640-9953,worldvictory@charter.net,http://www.worldvictorychurch.org,615 Park Ave,Moody,AL,35004,https://www.facebook.com/worldvictorychurch,,,,"['We 19:00-21:00', 'Su 10:00-12:00']",5,5,27 Years,9 Years ,,,,https://www.yellowpages.com/moody-al/mip/world-victory-church-451270898?lid=1000911593982,Contemporary praise and worship. Children's church and nursery provided. Youth ministry and adults sports programs.
World Victory Church,(205) 352-9299,pastorshawn@worldvictorychurch.org,http://www.worldvictorychurch.org,615 Park Ave,Moody,AL,35004,https://www.facebook.com/worldvictorychurch,,,,"['We 19:00-21:00', 'Su 10:00-12:00']",5,5,27 Years,3 Years ,,,,https://www.yellowpages.com/moody-al/mip/world-victory-church-451270898?lid=1002106214108,Contemporary praise and worship. Children's church and nursery provided. Youth ministry and adults sports programs.
S Highland Presbyterian Church,(205) 933-0790,awalker@southhighland.org,http://www.southhighland.org,2035 Highland Avenue South,Birmingham,AL,35205,https://www.facebook.com/southhighlandpresbyterian/,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-12:00', 'Su 08:30-20:00']",,,135 Years,3 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/s-highland-presbyterian-church-6414392?lid=1002117650882,"Our mission at South Highland Presbyterian Church is to serve with the passion of Christ. It is more than our mission; it is our covenant. It is the very heartbeat of the promise we make to God and our neighbor. Serving with the passion of Christ is our response to God's loving grace. It is in our response to God's grace that we find our purpose, our joy, our peace and our radiance. As an urban church, the light of Christ radiates from us, touching the lives of a socially, economically, and racially diverse community---quite literally right outside our doors. We lovingly welcome and serve all with the passion of Christ. Our mission at South Highland Presbyterian Church is to serve with the passion of Christ."
South Highland Adult Day Care Center,(205) 933-2332,,http://www.southhighlandcenter.org,2035 Highland Ave South,Birmingham,AL,35205,https://www.facebook.com/southhighlandpresbyterian,,,,['Mo-Fr 07:30-18:00'],,,1022 Years,3 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/south-highland-adult-day-care-center-457578363?lid=1002116237959,
True Life Missionary Baptist Church,(205) 791-2268,trulfchc@bellsouth.net,http://www.truelifechurch.org,275 Chickasaw Dr,Birmingham,AL,35214,https://www.facebook.com/true-life-baptist-church-253285284708764,,,,['Sa-Su 07:00-20:00'],,,,5 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/true-life-missionary-baptist-church-4890309?lid=1001961718183,
Dawson Memorial Baptist Church,(205) 871-7324,info@dawsonchurch.org,http://www.dawsonchurch.org,1114 Oxmoor Rd,Birmingham,AL,35209,https://www.facebook.com/dawsonfamilyoffaith,,,,"['Mo-Fr 08:00-16:30', 'Su 07:00-13:00']",5,1,98 Years,6 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/dawson-memorial-baptist-church-540774140?lid=1001786966284,"Dawson is a vibrant church family with a desire to see people follow Jesus as Savior and Lord. We are committed to being found faithful as God's people through ministry, missions, and worship. If you would like to know more about the love of Jesus and God's plan of salvation, or interested in learning additional information about Dawson's missions and ministries, please visit our website or give us a call."
Riverchase Hispanic United Methodist,(205) 739-0885,cindy@riverchaseumc.org,http://www.riverchaseumc.org,1953 Old Montgomery Hwy,Hoover,AL,35244,https://www.facebook.com/pages/riverchase-united-methodist-day-school/742538219165814,,,,"['Mo-Fr 09:00-17:00', 'Su 08:45-19:00']",,,37 Years,7 Years ,,,,https://www.yellowpages.com/hoover-al/mip/riverchase-hispanic-united-methodist-467575513?lid=1001616295459,"Offering both Traditional and Contemporary Worship! Traditional Worship Services In the Sanctuary at 8:45, 9:45, and 11:00 AM on Sunday mornings. Contemporary Worship Services at 11:00 AM In the Family Life Center."
Holy Trinity World Outreach,(205) 714-3077,media@htwom.com,http://holytrinityworldoutreach.com,1010 16th Ave W,Birmingham,AL,35204,,,,,,,,27 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/holy-trinity-world-outreach-11641153,
Liberty Church,(205) 988-5433,jjohnsey@libertychurch.cc,http://libertychurch.cc,2732 Old Rocky Ridge Rd,Birmingham,AL,35216,,,,,"['Mo-Tu 08:00-16:30', 'We 08:00-20:00', 'Th 08:00-16:30', 'Fr 08:00-12:00', 'Su 09:00-20:30']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/liberty-church-6883684,"Bruce Terry,Pastor"
Twenty-Third Street Baptist Church South,(205) 251-1752,ministry23rd@bellsouth.net,http://www.wix.com/23smbc/23rd,331 23rd St S,Birmingham,AL,35233,,,,,"['Mo 11:00-22:00', 'Th-Su 11:00-22:00']",,,29 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/twenty-third-street-baptist-church-south-1734679,
Saint Symeon Orthodox Church,(205) 930-9681,Phillip.Ritchey@birminghamorthodox.com,http://www.stsymeon.com,3101 Clairmont Ave S,Birmingham,AL,35205,,,,,,,,46 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/saint-symeon-orthodox-church-5273332,
Revelation Knowledge Bible Church,(205) 683-3002,info@revelationknowledge.org,http://www.revelationknowledge.org,3314 Sweeney Hollow Rd,Birmingham,AL,35215,,,,,,,,13 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/revelation-knowledge-bible-church-3877581,
Olivet Monumental Baptist Church,(205) 252-0078,,http://www.olivetmonumentalbaptist.com,3314 26th St N,Birmingham,AL,35207,,,,,,,,52 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/olivet-monumental-baptist-church-2498990,
Agape Worship Ministries,(205) 440-2961,Connect@agapewm.org,http://www.agapeworshipministries.org,9753 Parkway E,Birmingham,AL,35215,,,,,"['Tu 19:00-21:00', 'Su 12:30-14:30']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/agape-worship-ministries-475600429,
New Rising Star Missionary Baptist Church,(205) 833-3676,office@nrschurch.org,http://www.nrschurch.org,7400 London Ave,Birmingham,AL,35206,,,,,['Mo-Fr 06:00-18:00'],5,1,60 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/new-rising-star-missionary-baptist-church-13083776,
Living Stones Temple,(205) 776-2716,pastor@absuttonjrministries.com,http://www.livingstonestemple.com,1009 Walker Ave,Birmingham,AL,35217,,,,,,,,21 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/living-stones-temple-471857249,
Shades Mountain Bible Church,(205) 822-3117,info@shadesmountain.org,http://www.shadesmountain.org,2230 Sumpter St,Birmingham,AL,35226,,,,,['Mo-Th 09:00-16:00'],,,54 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/shades-mountain-bible-church-1703637,"At Shades Mountain Bible Church, our mission is to glorify God by becoming a community of grace where people will receive, live, and share the love of Jesus Christ."
Good News Bible Fellowship,(205) 925-4357,info@gnbc.org,http://goodnewsbiblefellowship.org,4605 Avenue P,Birmingham,AL,35208,,,,,,,,27 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/good-news-bible-fellowship-5594130,
Mountain Brook Presbyterian Church,(205) 967-5037,mhall@mbpcusa.org,http://www.mbpcusa.org,3405 Brookwood Rd,Birmingham,AL,35223,,,,,"['Mo-Fr 09:00-14:00', 'Su 08:00-12:00']",5,2,,,,,,https://www.yellowpages.com/birmingham-al/mip/mountain-brook-presbyterian-church-467624326,
New Generation Apostolic,(205) 925-7023,,https://ngacogonline.org/index.php/get-connected,1101 15th Way SW,Birmingham,AL,35211,,,,,,5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/new-generation-apostolic-460126800,Methodist
Rise Again Healing Center Church,(205) 783-1288,riseagainchurch40@yahoo.com,,4904 1st Ave N,Birmingham,AL,35222,,,,,,5,1,16 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/rise-again-healing-center-church-502875617,"A Christ-Centered Ministry,With A Heart For Mandkind"
Hayes Chapel Baptist Church,(205) 326-3030,,https://www.hayeschapelbc.com/contact,4645 Embry Rd,Birmingham,AL,35207,,,,,,5,1,24 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/hayes-chapel-baptist-church-14639193,
Gospel Of Peace Church,(205) 801-5331,,http://www.gopchurch.org,12 4th Ave S,Birmingham,AL,35205,,,,,['Mo-Su'],5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/gospel-of-peace-church-496350138,
New Seed of Faith Ame Church,(205) 423-5843,,,1000 Jackson Blvd,Birmingham,AL,35217,,,,,,5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/new-seed-of-faith-ame-church-536680831,
Life Changing Worship,(205) 907-8077,lifechangingworshipcenter@yahoo.com,,5377 1st Ave N,Birmingham,AL,35212,,,,,,5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/life-changing-worship-525897210,
Emmanuel Temple A F M,(205) 849-1691,,,4229 43rd Pl N,Birmingham,AL,35217,,,,,,5,1,31 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/emmanuel-temple-a-f-m-533143,
Abundant Harvest Church,(205) 407-8008,,http://www.ahc1.org,509 18th St SW,Birmingham,AL,35211,,,,,,5,1,25 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/abundant-harvest-church-7393919,
The Movement Fellowship Church,(205) 593-4529,,https://www.tmfclive.com/e-followship-get-connected,1140 Pratt Hwy,Birmingham,AL,35214,,,,,"['Mo-Fr 09:00-17:00', 'Su 09:00-17:00']",5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/the-movement-fellowship-church-554070707,
Cummings Little Ones,(205) 407-4311,,,1321 Rayfield Dr,Birmingham,AL,35228,,,,,,5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/cummings-little-ones-544138645,
Westminster Presbyterian Church,(205) 518-6292,info@wpcsnellville.org,https://wpc-alex.org,25 6th Ave SW,Birmingham,AL,35211,,,,,,3,1,79 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/westminster-presbyterian-church-6958616,
